time,step,mode,target6_0,target6_1,target6_2,target6_3,target6_4,target6_5,target7_0,target7_1,target7_2,target7_3,target7_4,target7_5,target7_6,action_norm,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,obs_tendon6_0,obs_tendon6_1,obs_tendon6_2,obs_tendon6_3,obs_tendon6_4,obs_tendon6_5,obs_thumb_abd,fb_source,q_ok,q_fail,q_angle_deg_0,q_angle_deg_1,q_angle_deg_2,q_angle_deg_3,q_angle_deg_4,q_angle_deg_5,dq_angle_deg_0,dq_angle_deg_1,dq_angle_deg_2,dq_angle_deg_3,dq_angle_deg_4,dq_angle_deg_5
1774772266.649928,1178,rl,0.08996117115020752,0.07500000298023224,0.08230271935462952,0.07900000363588333,0.3237294554710388,0.28227654099464417,0.08996117115020752,0.07500000298023224,0.08230271935462952,0.07900000363588333,0.9950000047683716,0.03604207560420036,0.10409568250179291,0.8520693182945251,0.9944531917572021,-1.0,0.04324488714337349,-0.9999995231628418,1.0,0.9924542903900146,0.9751614928245544,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1178,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772266.704531,1179,rl,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.32372939586639404,0.2822767198085785,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.9950000047683716,0.03604201227426529,0.10409589856863022,0.852048397064209,0.9944265484809875,-1.0,0.040608860552310944,-0.9999995827674866,1.0,0.9923942685127258,0.9752135872840881,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1179,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772266.7520494,1180,rl,0.08996109664440155,0.07500000298023224,0.08270909637212753,0.07900001108646393,0.3237294554710388,0.28228580951690674,0.08996109664440155,0.07500000298023224,0.08270909637212753,0.07900001108646393,0.9950000047683716,0.036042094230651855,0.10410725325345993,0.8530598878860474,0.9944431185722351,-1.0,0.10129887610673904,-0.9999994039535522,1.0,0.9924713969230652,0.9779173731803894,0.10518229752779007,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1180,0,23.0,20.0,21.0,21.0,83.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0
1774772266.8006997,1181,rl,0.08996117115020752,0.07500000298023224,0.08230268955230713,0.07900000363588333,0.3237294554710388,0.28227654099464417,0.08996117115020752,0.07500000298023224,0.08230268955230713,0.07900000363588333,0.9950000047683716,0.03604207560420036,0.10409568250179291,0.8520692586898804,0.9944531917572021,-1.0,0.04324095696210861,-0.9999995231628418,1.0,0.9924541711807251,0.9751614332199097,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1181,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772266.8512957,1182,rl,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.32372942566871643,0.2822767198085785,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.9950000047683716,0.03604201599955559,0.10409589856863022,0.852048397064209,0.9944266080856323,-1.0,0.04060874134302139,-0.9999995827674866,1.0,0.9923943281173706,0.9752135872840881,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1182,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772266.9013636,1183,rl,0.08996109664440155,0.07500000298023224,0.08270908892154694,0.07900001108646393,0.3237294554710388,0.28228580951690674,0.08996109664440155,0.07500000298023224,0.08270908892154694,0.07900001108646393,0.9950000047683716,0.036042094230651855,0.10410725325345993,0.8530598878860474,0.9944431185722351,-1.0,0.10129857808351517,-0.9999994039535522,1.0,0.9924713969230652,0.9779173731803894,0.10518229752779007,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1183,0,23.0,20.0,21.0,21.0,83.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0
1774772266.9508622,1184,rl,0.08996117115020752,0.07500000298023224,0.08230268955230713,0.07900000363588333,0.3237294554710388,0.28227654099464417,0.08996117115020752,0.07500000298023224,0.08230268955230713,0.07900000363588333,0.9950000047683716,0.03604207560420036,0.10409568250179291,0.8520692586898804,0.9944533109664917,-1.0,0.043240778148174286,-0.9999995231628418,1.0,0.9924541711807251,0.9751614928245544,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1184,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772267.001989,1185,rl,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.32372942566871643,0.2822767198085785,0.0899609848856926,0.07500000298023224,0.08228426426649094,0.07900000363588333,0.9950000047683716,0.03604201599955559,0.10409589856863022,0.852048397064209,0.9944266080856323,-1.0,0.04060862585902214,-0.9999995827674866,1.0,0.9923943281173706,0.9752135872840881,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1185,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772267.0506916,1186,rl,0.0899609699845314,0.07500000298023224,0.08228356391191483,0.07900000363588333,0.32372939586639404,0.2822767198085785,0.0899609699845314,0.07500000298023224,0.08228356391191483,0.07900000363588333,0.9950000047683716,0.03604201227426529,0.10409590601921082,0.8520475029945374,0.9944251179695129,-1.0,0.04050925001502037,-0.999999463558197,1.0,0.9923917055130005,0.9752154350280762,0.1162734404206276,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1186,0,23.0,20.0,22.0,21.0,83.0,72.0,0.0,0.0,1.0,0.0,3.0,0.0
1774772267.1062512,1187,rl,0.08996109664440155,0.07500000298023224,0.08270906656980515,0.07900001108646393,0.3237294554710388,0.28228580951690674,0.08996109664440155,0.07500000298023224,0.08270906656980515,0.07900001108646393,0.9950000047683716,0.036042094230651855,0.10410725325345993,0.8530598282814026,0.9944430589675903,-1.0,0.10129468888044357,-0.9999994039535522,1.0,0.9924713969230652,0.9779173135757446,0.10518229752779007,0.11523695290088654,0.815040111541748,0.6969889402389526,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,1187,0,23.0,20.0,21.0,21.0,83.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0
