time,x,y,z,vx,vy,vz,wx,wy,wz,contact,current_angle,mount_z,mount_roll,phase
2.474999999999969447e+00,2.689602833050938058e-01,5.626848155327283246e-02,3.854602233199942440e-01,1.839855910550776343e+02,1.073275426593245214e+02,-3.938356479597342030e+01,5.603700435769501942e-01,1.442455796913401367e-01,-1.789511247299464120e-02,0.000000000000000000e+00,3.770000000000003837e+01,1.987899753884951604e-01,-1.099942523810244266e+00,4.000000000000000000e+00
2.499999999999968914e+00,2.829695343945176078e-01,5.987462104555634629e-02,3.813340955081693795e-01,2.137395166858932214e+02,1.528489302120456728e+02,-2.011825720615085800e+01,5.603700435769501942e-01,1.442455796913402755e-01,-2.631451124729948798e-01,0.000000000000000000e+00,3.845000000000003126e+01,1.987477343980047217e-01,-1.100358439637936669e+00,4.000000000000000000e+00
2.524999999999968381e+00,2.969787854839414099e-01,6.348076053783985317e-02,3.710767176963445380e-01,2.554445762446895287e+02,1.790437424525906351e+02,-8.032033009386293543e+01,5.603700435769500832e-01,1.442455796913403865e-01,-5.083951124729955140e-01,0.000000000000000000e+00,3.920000000000002416e+01,1.987044154774913751e-01,-1.100780279342773671e+00,4.000000000000000000e+00
2.549999999999967848e+00,3.109880365733652119e-01,6.708690003012336700e-02,3.546880898845196084e-01,2.124349314914918523e+02,3.133260421980103843e+02,-1.126859141383393279e+02,5.603700435769504162e-01,1.442455796913408028e-01,-7.536451124729953710e-01,0.000000000000000000e+00,3.995000000000001705e+01,1.986709477390526390e-01,-1.101039343847380669e+00,4.000000000000000000e+00
2.574999999999967315e+00,3.249972876627890139e-01,7.069303952240688083e-02,3.321682120726947574e-01,3.452844473192698729e+02,3.007675771888273744e+02,-1.608179272943588671e+02,5.603700435769506383e-01,1.442455796913411636e-01,-9.988951124729950060e-01,0.000000000000000000e+00,4.070000000000000995e+01,1.986416743029934262e-01,-1.101241674038149210e+00,4.000000000000000000e+00
2.599999999999966782e+00,3.390065387522128160e-01,7.429917901469039465e-02,3.035170842608698738e-01,3.760505448181821748e+02,4.139094418359707106e+02,-2.095988749208810304e+02,5.603700435769499721e-01,1.442455796913415245e-01,-1.244145112472995196e+00,0.000000000000000000e+00,4.145000000000000284e+01,1.986135025477319127e-01,-1.101441346954500577e+00,4.000000000000000000e+00
2.624999999999966249e+00,3.530157898416366180e-01,7.790531850697390848e-02,2.687347064490449577e-01,5.585161259643490439e+02,4.706689243675537568e+02,-8.733550424264515755e+01,5.603700435769489729e-01,1.442455796913408306e-01,-1.489395112472995830e+00,0.000000000000000000e+00,4.219999999999999574e+01,1.985863655880268364e-01,-1.101640530085353120e+00,4.000000000000000000e+00
2.649999999999965716e+00,3.670250409310604200e-01,8.151145799925739455e-02,2.278210786372200647e-01,6.739757004515898871e+02,5.295858325214818478e+02,-2.953329867368149166e+02,5.603700435769524146e-01,1.442455796913376109e-01,-1.734645112472996242e+00,0.000000000000000000e+00,4.294999999999998863e+01,1.985601563781474732e-01,-1.101839667477136686e+00,4.000000000000000000e+00
2.674999999999965183e+00,3.810342920204842221e-01,8.511759749154083898e-02,1.807762008253951946e-01,9.433981369886963648e+02,4.830099995729540865e+02,-3.553041263456668730e+02,5.603700435769529697e-01,1.442455796913383326e-01,-1.979895112472997099e+00,0.000000000000000000e+00,4.369999999999998153e+01,1.985347223088358426e-01,-1.102039145395735886e+00,4.000000000000000000e+00
2.699999999999964650e+00,3.950435431099080241e-01,8.872373698382431118e-02,1.276000730135702643e-01,3.909903640172017845e+02,6.552035013866873214e+02,1.148257458471459586e+03,5.603700435769507493e-01,1.442455796913411636e-01,-2.225145112472995734e+00,0.000000000000000000e+00,4.444999999999997442e+01,1.985102269112611617e-01,-1.102236655801246412e+00,4.000000000000000000e+00
